GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core,org.owasp.dependencycheck.data.central,CentralSearch,99,318,13,25,18,71,11,12,0,4
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCache,0,17,0,0,0,6,0,3,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCacheFactory,56,144,2,8,13,34,3,7,1,4
Dependency-Check Core,org.owasp.dependencycheck.data.cache,DataCacheFactory.CacheType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,VulnerableSoftware,173,496,28,68,31,104,24,39,1,14
Dependency-Check Core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,54,0,0,0,6,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,CweSet,0,58,0,2,0,14,0,9,0,8
Dependency-Check Core,org.owasp.dependencycheck.dependency,Vulnerability,89,205,9,5,23,66,11,29,4,29
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,VulnerableSoftwareBuilder,45,253,0,0,9,57,9,32,9,32
Dependency-Check Core,org.owasp.dependencycheck.dependency,Evidence,47,186,15,15,12,32,20,9,5,9
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceCollection,113,352,26,32,29,85,24,29,1,16
Dependency-Check Core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.dependency,CvssV3,16,156,8,8,0,31,8,12,0,12
Dependency-Check Core,org.owasp.dependencycheck.dependency,CvssV2,12,122,6,6,0,25,6,10,0,10
Dependency-Check Core,org.owasp.dependencycheck.dependency,Dependency,141,852,27,61,31,227,33,80,7,62
Dependency-Check Core,org.owasp.dependencycheck.dependency,Reference,57,60,6,0,11,20,5,9,2,9
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerException,7,5,0,0,4,2,2,1,2,1
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerDependency,20,53,3,3,7,16,4,5,1,5
Dependency-Check Core,org.owasp.dependencycheck.data.composer,ComposerLockParser,15,155,5,9,4,34,5,6,0,4
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,Model,0,199,0,6,0,57,0,30,0,27
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomHandler,0,214,6,33,0,52,6,24,0,5
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,License,34,52,3,3,7,19,5,7,2,7
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomUtils,194,55,9,5,44,20,8,3,1,3
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,11,167,3,17,3,35,3,12,0,5
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,0,11,0,0,0,4,0,2,0,2
Dependency-Check Core,org.owasp.dependencycheck.xml.pom,PomParser,60,166,4,4,10,42,4,6,0,6
Dependency-Check Core,org.owasp.dependencycheck.data.nodeaudit,NpmAuditParser,198,0,14,0,42,0,11,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.nodeaudit,Advisory,122,0,0,0,52,0,35,0,35,0
Dependency-Check Core,org.owasp.dependencycheck.data.nodeaudit,NodeAuditSearch,344,0,22,0,81,0,17,0,5,0
Dependency-Check Core,org.owasp.dependencycheck.data.nodeaudit,SanitizePackage,2,137,4,10,1,28,4,4,0,1
Dependency-Check Core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.exception,ExceptionCollection,129,68,5,1,41,18,12,7,9,7
Dependency-Check Core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.exception,InitializationException,24,22,0,0,8,7,4,3,4,3
Dependency-Check Core,org.owasp.dependencycheck.exception,ParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,64,0,0,0,7,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.reporting,ReportGenerator,452,401,43,44,113,89,37,27,6,10
Dependency-Check Core,org.owasp.dependencycheck.reporting,EscapeTool,18,165,5,41,8,45,5,28,0,10
Dependency-Check Core,org.owasp.dependencycheck.reporting,ReportTool,14,48,3,3,6,11,2,4,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
Dependency-Check Core,org.owasp.dependencycheck.data.cwe,App,177,0,10,0,36,0,8,0,3,0
Dependency-Check Core,org.owasp.dependencycheck.data.cwe,CweDB,21,51,1,3,9,12,1,5,0,4
Dependency-Check Core,org.owasp.dependencycheck.data.ossindex,ODCConnectionTransport,44,0,2,0,11,0,3,0,2,0
Dependency-Check Core,org.owasp.dependencycheck.data.ossindex,OssindexClientFactory,124,0,12,0,30,0,8,0,2,0
Dependency-Check Core,org.owasp.dependencycheck.data.update,UpdateService,0,12,0,0,0,4,0,2,0,2
Dependency-Check Core,org.owasp.dependencycheck.data.update,EngineVersionCheck,48,230,13,17,17,59,15,9,2,7
Dependency-Check Core,org.owasp.dependencycheck.data.update,RetireJSDataSource,91,158,7,13,24,35,7,10,2,5
Dependency-Check Core,org.owasp.dependencycheck.data.update,NvdCveUpdater,393,501,49,43,87,120,34,26,1,13
Dependency-Check Core,org.owasp.dependencycheck.data.lucene,UrlTokenizingFilter,11,76,0,10,3,18,0,8,0,3
Dependency-Check Core,org.owasp.dependencycheck.data.lucene,LuceneUtils,0,61,1,11,0,17,1,8,0,3
